,fno,country,year,season,lat,long,pc,cem,ast,nplsqm,ccd,vartype,fym,n,p,k,mf,wcp,iu,hu,fu,cs,ldg,yield
1,1,PHL,2010,WS,14.1751,121.2935,1,1,13,0,107,2,0,92,0,0,92,2,0,1,0,3,0,5.07
2,2,PHL,2010,WS,14.1747,121.2937,1,1,13,0,107,2,0,92,0,0,92,2,0,1,0,2,0,4.23
3,3,PHL,2010,WS,14.1766,121.3096,1,1,18,0,118,2,0,99.5,0,0,99.5,1,2,0,1,3,100,4.61
4,4,PHL,2010,WS,14.1765,121.3092,1,1,18,0,118,2,0,107.3,0,0,107.3,1,2,0,0,3,100,4.88
5,5,PHL,2010,WS,14.1592,121.3077,1,1,9,0,101,2,0,56.5,10.5,10.5,77.5,2,1,1,0,3,0,3.93
6,6,PHL,2010,WS,14.1594,121.3082,1,1,9,0,101,2,0,56.5,10.5,10.5,77.5,2,0,1,0,3,0,4.87
7,7,PHL,2010,WS,14.1585,121.3086,1,1,12,0,75,2,0,115,0,0,115,2,2,2,0,2,0,4.89
8,8,PHL,2010,WS,14.1582,121.3087,1,1,12,0,75,2,0,95,0,0,95,2,2,2,0,3,0,4.45
9,9,PHL,2010,WS,14.1583,121.3078,1,1,18,0,94,2,0,88,0,0,88,1,2,0,1,3,0,5.24
10,10,PHL,2010,WS,14.1581,121.3079,1,1,18,0,94,2,0,92,0,0,92,1,2,0,1,3,0,6.2
11,11,PHL,2010,WS,14.2663,121.4352,1,1,15,0,92,2,0,65,7,7,79,2,2,1,0,3,0,7.6
12,12,PHL,2010,WS,14.2673,121.4346,1,1,15,0,115,2,0,108,0,0,108,2,3,1,0,3,0,6.21
13,13,PHL,2010,WS,14.2686,121.4344,1,1,25,0,101,2,0,64,0,0,64,1,1,0,0,3,0,4.92
14,14,PHL,2010,WS,14.2692,121.4343,1,1,17,0,119,2,0,138,0,0,138,2,3,1,0,3,0,5.26
15,15,PHL,2010,WS,14.2677,121.4347,1,1,17,0,137,2,0,103.5,0,0,103.5,1,2,0,0,3,25,5.47
16,16,PHL,2010,WS,14.2701,121.4342,1,1,21,0,102,2,1,69,0,0,69,2,1,1,0,3,0,4.87
